"name.keyword: Descending","Lower Std Deviation","Upper Std Deviation",Average,Min,Max,Failed
"cpp-drogon","51,703.272","79,072.364","65,387.818","24,626","83,788",0
"cpp-lithium","46,606.527","72,140.091","59,373.309","24,225","79,148",0
"cpp-pistache.io","24,439.053","32,219.238","28,329.145","14,744","32,500",0
"typescript-deno","19,864.236","25,000.455","22,432.345","12,722","25,154",0
"go-gin","12,429.808","30,750.738","21,590.273","7,114","43,712",0
"cpp-seastar","7,849.352","28,572.648","18,211","5,751","53,457",0
"dart-raw-native","9,569.127","10,824.291","10,196.709","8,473","11,045",0
"dart-raw","6,948.755","10,065.609","8,507.182","3,245","9,379",0
"node-express","6,120.934","6,667.866","6,394.4","4,989","6,630",0
"dart-shelf","5,421.819","7,257.853","6,339.836","3,223","6,812",0
"rust-rocket","1,306.533","3,842.921","2,574.727","1,191","6,020",0
"node-express-cluster","532.771","2,545.884","1,539.327","1,053","7,271",0
"python-flask","1,101.499","1,573.446","1,337.473",705,"1,615",0
